type of place of residence,source of drinking water,time to get to water source,type of toilet facility,toilet facilities shared with other households,household has: electricity,household has: radio,household has: television,main floor material,main wall material,main roof material,type of cooking fuel,use of internet,frequency of listening to radio,frequency of watching television,frequency of reading newspaper or magazine
1,14,4,22,0.0,1,1,0,11,23,31,8,0,2,0,0
1,14,4,22,0.0,1,1,0,11,23,31,8,1,2,0,1
1,14,4,22,0.0,1,1,0,11,23,31,8,0,2,0,0
1,42,15,22,0.0,1,1,0,11,33,31,8,0,2,0,0
1,14,5,21,0.0,1,1,1,34,36,31,8,0,2,2,0
1,14,5,21,0.0,1,1,1,34,36,31,8,0,2,2,0
1,14,60,22,0.0,1,1,0,11,23,31,8,0,2,0,0
1,14,60,22,0.0,1,1,0,11,23,31,8,0,2,0,0
1,14,60,22,0.0,1,1,0,11,23,31,8,0,2,0,1
1,14,60,22,0.0,1,1,0,11,23,31,8,0,2,0,0
1,14,60,22,0.0,1,0,0,34,36,31,8,0,2,0,0
1,42,40,22,0.0,0,1,0,11,23,33,8,0,2,0,0
2,41,90,23,1.0,0,0,0,11,21,33,9,0,0,0,0
2,14,25,23,0.0,1,0,0,11,21,33,9,0,2,0,0
